place,dataset,year,score,rank,isopen,exists,digital,public,online,free,machinereadable,bulk,openlicense,uptodate,url,format,licenseurl,dateavailable,officialtitle,publisher,timestamp,submitters,reviewers,details
md,companies,2013,70,5,False,Y,Y,Y,Y,Y,Y,Y,N,Y,http://www.fisc.md/Catalogul_SFS.aspx,Excel,None,2012-09-2007,None,None,2013-10-07T16:20:43.173Z,"[u'Mor Rubinstein', u'Victoria Vlad']","[u'Ovidiu Voicu', u'Mor Rubinstein']",None
jp,map,2013,60,21,False,Y,Y,Y,Y,Y,Y,?,?,Y,http://www.gsi.go.jp/kiban/index.html?link_id=linkB01,XML or JPG,None,None,None,None,2/3/2013 2:22:47,"[u'Masahiko SHOJI', u'Nishizawa Akira', u'Daniela Mattern']","[u'Laura James', u'Masayuki Hatta', u'Daniela Mattern']","Data that can be downloaded is an XML document file or JPGIS2.x format, encoded in JPGIS2.x (GML) format"
in,spending,2013,60,11,False,Y,Y,Y,Y,Y,Y,Y,N,N,http://cga.nic.in/default.aspx,HTML,None,None,None,None,2013-10-07T17:37:56.397Z,"[u'Tuhin Subhro Chakraborty', u'SUSIL KUMAR Sahoo', u'Akhilesh Srivastava', u'Subhajit Ganguly', u'Nimit Gupta', u'Shubhadip Biswas']","[u'Mor Rubinstein', u'Laura James', u'Subhajit Ganguly']","This data is taken from ministry of finance website ""http://www.finmin.nic.in/the_ministry/dept_expenditure/cca/cca_exp_stat.asp"". It is publicly available. You can also find info on http://cga.nic.in/default.aspx and on http://www.finmin.nic.in/the_ministry/dept_expenditure/cca/cca_exp_stat.asp Data available in pdf not excel. Data is not available in bulk for all things, though for some. To be conservative ive said no. Given the definition of spending I have changed the link to CGA as that is where detailed accounts are available to some degree of disaggregation. The ministy of finance has some but CGA would have more."
gb,budget,2013,90,11,True,Y,Y,Y,Y,Y,Y,Y,Y,N,http://data.gov.uk/dataset/coins,CSV,None,June 2010,None,None,10/5/2012 14:14:57,"[u'Owen Boswarva', u'Mor Rubinstein', u'Andrew Stott']","[u'Fred Saunderson', u'Mor Rubinstein', u'Daniela Mattern', u'Andrew Stott']","The position seems to be as follows. There is an annual ""Budget speech"" and documents are published online by HM Treasury and are re-useable under the terms of the UK's Open Government Licence. Main documents are in PDF but some raw data is also provided in Excel format. However this does not usually include detailed departmental budgets. Departmental level budgets are in a number of places, but the two collections available regularly free of charge under the UK Open Government Licence are: (1) the annual ""Estimates"" published each April for the financial year commencing that April. These are published in PDF format department by department and are at https://www.gov.uk/government/collections/hmt-main-estimates for the last three years 2011-12, 2012-13, and 2013-14. This dataset is ""up to date"" (2) the same, and some more detailed, data is contained in the ""Plans"" part of the COINS/OSCAR dataset http://data.gov.uk/dataset/coins (this also contains matching expenditure information). Although the expenditure information is published quarterly, the ""plans"" are not currently published in COINS data until the end of the financial year to which they relate. Once Plans information is available on COINS it is available for bulk download in machine readable format (CSV). In assessing the ratings fairly it was necessary to choose between the ""Estimates"" and ""COINS"" versions - the COINS version seemed closer to the ideal, even though it was not as up to date, and that is assessed here."
es,statistics,2013,75,13,False,Y,Y,Y,Y,Y,?,?,Y,Y,http://www.ine.es,None,None,None,None,None,24/02/2013 01:51:35,"[u'Jaime Soler', u'Jos\xe9 F\xe9lix Onta\xf1\xf3n']","[u'Mor Rubinstein', u'Maria Dotor']","Condiciones legales:
La información contenida en este sitio web procede de múltiples fuentes, por lo que el INE solo autoriza la reutilización de aquélla cuya fuente original sea el propio INE y siempre bajo las siguientes condiciones generales:
* Se prohíbe expresamente desnaturalizar el sentido de la información.
* Debe citarse la fuente de la información objeto de reutilización. Esta cita podrá realizarse de la siguiente manera: Fuente: Sitio web del INE: www.ine.es.
* Debe mencionarse la fecha de la última actualización de la información objeto de reutilización, siempre y cuando estuviera incluida en el original.
* No se podrá indicar, insinuar o sugerir que el INE participa, patrocina o apoya la reutilización que se lleve a cabo con la información.
* El INE no será responsable del uso que de su información hagan los agentes reutilizadores. Tampoco será responsable de los daños materiales o sobre datos, ni de posibles perjuicios económicos provocados por el uso de la información reutilizada."
bg,spending,2013,10,19,False,Y,Y,N,?,?,?,?,?,?,http://www.minfin.bg/bg/transparency,XLS,None,None,None,None,11/5/2012 7:58:09,"[u'Peio Popov', u'Boyan Yurukov', u'Mor Rubinstein']","[u'Rayna St', u'Mor Rubinstein', u'Pierre Chrzanowski', u'Boyan Yurukov']","Spending data provided on a daily basis, but not at transactionnal level."
bf,timetables,2013,30,41,False,Y,Y,Y,N,Y,N,N,N,N,http://sotraco-bf.net/spip.php?rubrique11,None,None,2009,None,None,9/6/2013 1:12:31,"[u'titinto', u'T. Idriss TINTO']",Idriss TINTO,None
is,legislation,2013,65,15,False,Y,Y,Y,Y,Y,N,N,Y,N,http://www.althingi.is/vefur/lagasafn.html & http://reglugerd.is,HTML,None,None,None,None,18/04/2012 11:06:13,"[u'Mor Rubinstein', u'P\xe1ll Hilmarsson', u'Svavar Kjarrval']","[u'Tryggvi Bj\xf6rgvinsson', u'P\xe1ll Hilmarsson']",Legislation by law is exempt from copyright and can therefore be considered openly licensed. Statutes are not available in bulk nor can be accessed easily. The bulk version of the legislation is only updated 2-3 times a year.
md,timetables,2013,60,9,False,Y,Y,Y,Y,Y,Y,N,N,Y,http://www.autogara.md/orar/,HTML,None,None,None,None,2013-10-07T14:17:33.591Z,"[u'Mor Rubinstein', u'Victoria Vlad']","[u'Ovidiu Voicu', u'Mor Rubinstein']","http://www.autogara.md/orar/
http://www.railway.md/ro/schedule/"
fr,companies,2013,40,34,False,Y,Y,Y,N,Y,N,N,?,Y,http://www.sirene.fr/sirene/public/static/conditions-generales-vente,None,None,None,None,None,2013-09-28T19:39:15.539Z,"[u'Benjamin Ooghe', u'Simon', u'OKF France']",Pierre Chrzanowski,"The whole bulk data is made available under highly restricted conditions for 65 994 € and 255 € per update.
http://www.sirene.fr/static-resources/doc/redifsirR2a.pdf"
