place,dataset,year,score,rank,isopen,dataset,exists,digital,public,online,free,machinereadable,bulk,openlicense,uptodate,url,format,licenseurl,dateavailable,title,publisher,timestamp,details
tr,postcodes,2014,85,3,False,postcodes,Y,Y,Y,Y,Y,N,Y,Y,Y,http://postakodu.ptt.gov.tr/,,http://postakodu.ptt.gov.tr/adres/kayit.aspx,,,PTT ,2014-11-11T02:11:57.311Z,
pl,spending,2014,10,12,False,spending,Y,Y,N,?,?,?,?,?,?,,,,,,,2013-10-02T06:26:15.745Z,
sk,companies,2014,45,8,False,companies,Y,Y,Y,Y,Y,N,N,N,Y,http://www.orsr.sk/,HTML,,,,"Ministerstvo Spravodlivosti Slovenskej Republiky (Ministry of Justice, SR)",2014-11-01T09:27:03.782Z,"Data is accessible in bulk form only on special arrangement. Or it can be just scraped from web. License for the data is not clearly stated so ""no"" is filled."
md,companies,2013,70,3,False,companies,Y,Y,Y,Y,Y,Y,Y,N,Y,http://www.fisc.md/Catalogul_SFS.aspx,Excel,,2012-09-2007,,,2013-10-07T16:20:43.173Z,
eg,legislation,2014,35,11,False,legislation,Y,Y,Y,Y,Y,N,N,N,N,http://www.egypt.gov.eg/english/laws/default.aspx,PDF,,,,,2013-10-07T07:18:54.218Z,"Data is licensed as follows: ""All rights reserved, Egyptian Government Services Portal"". Not sure all laws are available in English. "
cz,spending,2014,5,13,False,spending,Y,?,?,?,?,?,?,?,?,,,,,,,2014-11-10T16:49:36.492Z,"The now (2014-10-06) available data also contains transactional data. Transaction and master data are offered via SOAP web services that respond with XML messages. Transaction data is also available for download in bulk in CSV that covers the period from 2010 to June 2014. The licence of the data is ""mostly"" open as it prohibits derivatives (analogous to CC BY-ND).

REWIWERS NOTE: comment above is right, but the data is not available in sufficient detail. It breaks down to budget chapters for individual ministries, but it's not available on item level. 
Data form Ministry of Labours and Social Affairs might serve as an example:
http://monitor.statnipokladna.cz/en/2014/statni-rozpocet/kapitola/313#tabId"
bm,legislation,2014,45,9,False,legislation,Y,Y,Y,Y,Y,N,N,N,Y,http://www.bermudalaws.bm/default.aspx,PDF,,,,,2013-10-09T14:23:59.351Z,
ru,statistics,2014,60,7,False,statistics,Y,Y,Y,Y,Y,Y,N,N,Y,http://fedstat.ru,"SDMX, XML, CSV",,,,,21/02/2013 08:51:24,"Brief Description There is special government source for statistic information publication http://fedstat.ru/.
Federal Law ""On official statistical records and the system of state statistics in the Russian Federation"" (article 5, paragraph 10) stipulates that official statistical information in Russia is available. Government Decree № 367 (26 may 2010) ""On the unified interdepartmental information and statistical system"" establishes that access to official statistical information in the system, is carried out on a free and nondiscriminatory basis (paragraphs 4-5).
There is no any legal restriction for use and reuse statistic information for commercial purposes. Also there is special terms of use on the Federal Statistic Service web site http://www.gks.ru/opendata/.
On the http://fedstat.ru data in not available in bulk Step by step explanation
1. Does the data exist? Yes, via website http://fedstat.ru 2. Is data in digital form? Yes, data available via website 3. Publicly available? Yes, this data is publicly available. We don't need FOI request to get it. 4. Is the data available for free? Yes, this data is available for free. No payment is required. 5. Is the data available online? Yes. Data available at http://fedstat.ru 6. Is the data machine readable? Yes, data provided as SDMX and XLS files 7. Available in bulk? No, it's not bulk yet. 8. Openly licensed? No, this data is public domain data but no open license available. 9. Is the data provided on a timely and up to date basis?
Yes, this information updated frequently, on monthly basis. Ivan Pavlov: Ivan Pavlov: we consider the Russian statistics as open licensed, taking into the account Russian Legislation provisions. Russia has no special license for government data and we should consider the legal regime of data use and dissemination form ""the common rule"" point of view. According to the Civil Сode of Russia (Article 1259), official government documents including laws, other legal texts, judicial decisions, other materials of legislative, administrative and judicial character are not objects of copyright. According to the Russian FOI law (Article 4), one of the main FOI principles in Russia is the freedom to seek, receive, transmit and disseminate information on activities of government bodies and bodies of local self-government in any legal way. Also according to the Russian FOI law (Article 1), information about the activities of government bodies and bodies of local self-government is information (including documentation), established within government bodies, their territorial bodies, local authorities or institutions subordinate to the state authorities, local self-government (hereinafter - organizations subordinated to it), or received by the mentioned bodies and organizations. Information on the activities of government bodies and bodies of local self-government also includes laws and other normative legal acts concerning information on the activities of bodies of local self-government – municipal legal acts defining structure, competence, formation and operating procedures of the above-specified bodies and organizations, and other information concerning their activity. Thus, according to the current Russian legislation, there are no legal restrictions on use, reuse or redistribute statistics data. "
ye,timetables,2014,0,15,False,timetables,?,N,N,N,N,N,N,N,N,,,,,,,2013-10-08T15:03:35.426Z,In the Official website of the Ministry of Transport: http://www.mot.gov.ye/ there's a link to the official website of the Instance in charge of Transport Management http://www.ltaa.gov.ye/mainltaa.php?action=sitescom which gives a list of transport companies like this one http://www.yemitco.com/contants.asp?CBT=1&SeIdN=1 but no transport timetables available. 
in,spending,2013,60,7,False,spending,Y,Y,Y,Y,Y,Y,Y,N,N,http://cga.nic.in/default.aspx,HTML,,,,,2013-10-07T17:37:56.397Z,"This data is taken from ministry of finance website ""http://www.finmin.nic.in/the_ministry/dept_expenditure/cca/cca_exp_stat.asp"". It is publicly available. You can also find info on http://cga.nic.in/default.aspx and on http://www.finmin.nic.in/the_ministry/dept_expenditure/cca/cca_exp_stat.asp Data available in pdf not excel. Data is not available in bulk for all things, though for some. To be conservative ive said no. Given the definition of spending I have changed the link to CGA as that is where detailed accounts are available to some degree of disaggregation. The ministy of finance has some but CGA would have more. "
